adaptive_key,whole_key,group,n,mae,rmse,max_abs_err,rel_mae,mean_ref
Battery1_I_amp,Bat_I_amp,Battery,1440,0.26695774338511435,4.420013689274894,75.02493388174605,0.5109916209960121,-52.24307648426152
Battery1_P_load_mw,Bat_P_mw,Battery,1440,0.00010416666666666735,0.0017677669529663688,0.03,0.524658971668419,0.019854166666666666
Battery1_SOC,Bat_SOC,Battery,1440,0.015088062980669687,0.019308166386699813,0.033758108663391795,0.015594128947638591,96.75476604901657
Battery1_V_volt,Bat_V_volt,Battery,1440,0.03257462527089001,0.045841396166594536,0.09504414489458668,0.00841679973400827,387.01913197805453
PV1_I_amp,PV_I_amp,PV,1440,5.659423547083659e-14,2.5691978782598076e-13,4.774847184307873e-12,4.2980105877999376e-14,131.67542125531617
PV1_P_W,PV_P_W,PV,1440,4.505788335033382e-11,2.066388424937168e-10,3.725290298461914e-09,4.415463043350819e-14,102045.65842349382
PV1_P_load_mw,PV_P_mw,PV,1440,4.456504609784417e-16,2.0634777469091343e-15,3.68594044175552e-14,4.3671672843637633e-14,-1.0204565842349382
PV1_V_volt,PV_V_volt,PV,1440,0.0,0.0,0.0,0.0,384.65277777777777
Total_P_loss_adaptive [MW] (Σ 20 terms),Total_P_loss_mw,Losses,1440,0.10036831423317134,0.15904387229838698,0.35159302807362813,0.740264634697021,13.558437014115981
Total_Q_loss_adaptive [MVAr] (Σ 20 terms),Total_Q_loss_mvar,Losses,1440,0.4980774773387329,0.7890394564574799,1.7337187122876543,0.8974611605624914,55.498499458913486
V_sub_bus_10__13.8_ang_deg,V_BUS10_138_ang_deg,Voltage,1440,0.10917743539013189,0.17318025923584207,0.379894352643122,0.7270306969172888,-15.01689486469545
V_sub_bus_10__13.8_mag_kv,V_BUS10_138_mag_kv,Voltage,1440,0.0022567125892951315,0.0035820175907686335,0.007932666802561883,0.015862931041507964,14.22632793012888
V_sub_bus_11__13.8_ang_deg,V_BUS11_138_ang_deg,Voltage,1440,0.09183966603538202,0.1456683282797385,0.31960048557029985,0.6196293712145664,-14.821709606076697
V_sub_bus_11__13.8_mag_kv,V_BUS11_138_mag_kv,Voltage,1440,0.0012782814378616528,0.0020291801962932865,0.00448689683469361,0.008850267651057332,14.443421241717337
V_sub_bus_12__13.8_ang_deg,V_BUS12_138_ang_deg,Voltage,1440,0.07741769655607034,0.12278306596946685,0.26942082199360406,0.5082165188936352,-15.233211373098463
V_sub_bus_12__13.8_mag_kv,V_BUS12_138_mag_kv,Voltage,1440,0.00010107125480254768,0.00016335546149049202,0.0005446082346480807,0.0006952543537458304,14.537306276185806
V_sub_bus_13__13.8_ang_deg,V_BUS13_138_ang_deg,Voltage,1440,0.08027032911340223,0.1273132734914248,0.28150945955591133,0.5259520998023575,-15.261908668786807
V_sub_bus_13__13.8_mag_kv,V_BUS13_138_mag_kv,Voltage,1440,0.0004987214302268993,0.0008032088341709427,0.002301486986047152,0.00345159344251442,14.449020098485013
V_sub_bus_14__13.8_ang_deg,V_BUS14_138_ang_deg,Voltage,1440,0.10094258784185103,0.16013763014573512,0.3610731886938634,0.6329235384323173,-15.948622813408841
V_sub_bus_14__13.8_mag_kv,V_BUS14_138_mag_kv,Voltage,1440,0.0017399508786165535,0.002787440514540726,0.007457500650186688,0.012350334622010482,14.088289361129156
V_sub_bus_1___69.0_ang_deg,V_BUS1_69_ang_deg,Voltage,1440,0.0,0.0,0.0,,0.0
V_sub_bus_1___69.0_mag_kv,V_BUS1_69_mag_kv,Voltage,1440,0.0,0.0,0.0,0.0,73.14
V_sub_bus_2___69.0_ang_deg,V_BUS2_69_ang_deg,Voltage,1440,0.021839362900821058,0.03463229250554697,0.07579908908765276,0.4378136264588882,-4.98827847763935
V_sub_bus_2___69.0_mag_kv,V_BUS2_69_mag_kv,Voltage,1440,3.671137468093851e-15,7.619721951899982e-15,2.842170943040401e-14,5.091377114061232e-15,72.105
V_sub_bus_3___69.0_ang_deg,V_BUS3_69_ang_deg,Voltage,1440,0.037391408429565655,0.059293820452730406,0.12976767471663386,0.2931268301544771,-12.756051163880317
V_sub_bus_3___69.0_mag_kv,V_BUS3_69_mag_kv,Voltage,1440,2.3684757858670005e-15,6.0151824732203326e-15,2.842170943040401e-14,3.3985877254512847e-15,69.69
V_sub_bus_4___69.0_ang_deg,V_BUS4_69_ang_deg,Voltage,1440,0.04768721704835487,0.07562354618619445,0.16554143242222885,0.4667275741125884,-10.217355839544059
V_sub_bus_4___69.0_mag_kv,V_BUS4_69_mag_kv,Voltage,1440,0.012362926321534632,0.019597772498214542,0.042955308254846614,0.017710955705338864,69.80383513583008
V_sub_bus_5___69.0_ang_deg,V_BUS5_69_ang_deg,Voltage,1440,0.041104612165763055,0.06518471851847168,0.1427577238796367,0.47017393747789515,-8.742426767901305
V_sub_bus_5___69.0_mag_kv,V_BUS5_69_mag_kv,Voltage,1440,0.010481964451752378,0.01661409484583786,0.036448076759413084,0.014954628893002286,70.09177243212768
V_sub_bus_6___13.8_ang_deg,V_BUS6_138_ang_deg,Voltage,1440,0.07440606908496823,0.11800478776141589,0.2588401113262968,0.5170004313934834,-14.391877562736225
V_sub_bus_6___13.8_mag_kv,V_BUS6_138_mag_kv,Voltage,1440,4.440892098500626e-16,9.432177896254496e-16,3.552713678800501e-15,3.0075119182585847e-15,14.766
V_sub_bus_7___13.8_ang_deg,V_BUS7_138_ang_deg,Voltage,1440,0.09476093959811678,0.1502550890430707,0.3295708372596504,0.7165125902483632,-13.2253
V_sub_bus_7___13.8_mag_kv,V_BUS7_138_mag_kv,Voltage,1440,0.002058483753688445,0.0032635499811008934,0.0071854898361376485,0.014235976423407942,14.459729999999999
V_sub_bus_8___18.0_ang_deg,V_BUS8_18_ang_deg,Voltage,1440,0.09476093634032866,0.15025488728511308,0.32938475476659335,0.716512565615363,-13.225300000000008
V_sub_bus_8___18.0_mag_kv,V_BUS8_18_mag_kv,Voltage,1440,3.9474596431116675e-16,1.1842378929335002e-15,3.552713678800501e-15,2.0180502409475234e-15,19.56076
V_sub_bus_9___13.8_ang_deg,V_BUS9_138_ang_deg,Voltage,1440,0.11675377046868483,0.18520527312051102,0.40683271447349867,0.7884186923050445,-14.808600000000002
V_sub_bus_9___13.8_mag_kv,V_BUS9_138_mag_kv,Voltage,1440,0.00258080809017242,0.004096312213003812,0.009079650467144873,0.018126758308111925,14.23756
