name,from,to,vbase_kv,r_ohm,x_ohm,bch_s,r_pu_topo,x_pu_topo,b_total_pu_topo,b_half_pu_topo,data_r_pu,data_x_pu,data_b_pu,data_tap,delta_r_pu,delta_x_pu,delta_b_pu,match_note
BRANCH-3,BUS_2   69.0,BUS_3   69.0,69.0,2.237193,9.425351,0.0009199746,0.04698998109640832,0.19796998529720647,0.043799990706000005,0.021899995353000003,,,,,,,,no_data14_match
BRANCH-5,BUS_2   69.0,BUS_5   69.0,69.0,2.711389,8.278426,0.0007141355,0.056949989498004616,0.1738799831968074,0.033999991155,0.0169999955775,,,,,,,,no_data14_match
BRANCH-4,BUS_2   69.0,BUS_4   69.0,69.0,2.766617,8.394595,0.000785549,0.058109997899600925,0.17631999579920185,0.03739998789,0.018699993945,,,,,,,,no_data14_match
BRANCH-6,BUS_3   69.0,BUS_4   69.0,69.0,3.190346,8.142738,0.000726738,0.06700999789960092,0.17102999369880276,0.03459999618,0.01729999809,,,,,,,,no_data14_match
BRANCH-1,BUS_1   69.0,BUS_2   69.0,69.0,0.922681,2.817083,0.0011090105,0.019379983196807393,0.05916998529720646,0.052799989905000004,0.026399994952500002,,,,,,,,no_data14_match
BRANCH-2,BUS_1   69.0,BUS_5   69.0,69.0,2.572368,10.61893,0.0010333961,0.05402999369880278,0.22303990758244066,0.049199988321000004,0.024599994160500002,,,,,,,,no_data14_match
BRANCH-7,BUS_4   69.0,BUS_5   69.0,69.0,0.635593,2.004857,0.0002688509,0.01334998949800462,0.04210999789960092,0.012799991349,0.0063999956745,,,,,,,,no_data14_match
BRANCH-13,BUS_6   13.8,BUS_13  13.8,13.8,0.125976,0.248086,0.0,0.06614996849401385,0.1302699012812434,0.0,0.0,,,,,,,,no_data14_match
BRANCH-12,BUS_6   13.8,BUS_12  13.8,13.8,0.234069,0.487164,0.0,0.12290957781978575,0.25580970384373025,0.0,0.0,,,,,,,,no_data14_match
BRANCH-11,BUS_6   13.8,BUS_11  13.8,13.8,0.180879,0.378785,0.0,0.0949795211090107,0.19889991598403692,0.0,0.0,,,,,,,,no_data14_match
BRANCH-20,BUS_13  13.8,BUS_14  13.8,13.8,0.325519,0.662769,0.0,0.17092995169082126,0.34801984877126657,0.0,0.0,,,,,,,,no_data14_match
BRANCH-19,BUS_12  13.8,BUS_13  13.8,13.8,0.42072,0.380651,0.0,0.22091997479521103,0.19987975215290904,0.0,0.0,,,,,,,,no_data14_match
BRANCH-18,BUS_10  13.8,BUS_11  13.8,13.8,0.156256,0.365778,0.0,0.08204998949800461,0.19206994328922491,0.0,0.0,,,,,,,,no_data14_match
BRANCH-16,BUS_9   13.8,BUS_10  13.8,13.8,0.060578,0.160921,0.0,0.031809493803822725,0.08449957992018484,0.0,0.0,,,,,,,,no_data14_match
BRANCH-17,BUS_9   13.8,BUS_14  13.8,13.8,0.242068,0.514911,0.0,0.1271098508716656,0.27037964713295526,0.0,0.0,,,,,,,,no_data14_match
BRANCH-15,BUS_7   13.8,BUS_9   13.8,13.8,0.0,0.209503,0.0,0.0,0.11000997689561014,0.0,0.0,,,,,,,,no_data14_match
